Chr	GeneID	Start	Stop	CodingLength	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10
chr1	ADCY10	167778625	167883453	5421	8	8	18	8	8	10	42	28	30	40
chr1	ADIPOR1	202909960	202927700	2340	10794	10528	12548	7852	12404	9204	13854	9374	8988	12460
chr1	ADORA1	203096836	203136533	2919	96	128	124	40	184	114	184	58	62	176
chr1	ADORA3	112025970	112106597	3408	4	10	8	12	22	18	14	4	4	20
chr1	ADPRHL2	36554453	36559533	1691	3420	4990	4068	2326	7662	3038	7324	3232	2692	7578
chr1	ADSS	244571794	244615436	2782	12616	9998	14802	10522	11386	11192	11930	11442	11164	11200
chr1	AGL	100315640	100389579	8217	3324	1580	3726	2318	1554	2826	1508	2916	2944	1274
chr1	AGMAT	15898194	15911605	3154	408	452	508	418	586	406	546	508	454	568
chr1	AGRN	955503	991499	7326	51216	52478	58076	28224	50440	42796	65300	46554	42946	50898
chr1	AGT	230838272	230850336	2581	4	8	8	2	2	8	16	6	4	16
chr1	AGTRAP	11796142	11810828	1280	2776	4008	3448	1830	6224	2408	5932	2492	2354	6278
chr1	AHCTF1	247002402	247094726	8631	14124	7524	16356	11074	6500	11906	7578	12706	12526	5988
chr1	AHCYL1	110527387	110566364	4968	14482	10780	16982	10490	11308	12786	12506	13032	12358	10332
chr1	AHDC1	27860756	27930143	6496	2988	3344	3362	1728	3856	2250	4350	2638	2438	3870
chr1	AIDA	222841355	222885864	3006	19910	13742	22472	14226	14440	17522	16582	16978	16742	14242
chr1	AIM1L	26648350	26680621	5245	24	34	46	12	58	8	40	18	30	36
chr1	AIM2	159032275	159046647	1484	0	0	4	4	0	10	2	2	8	0
chr1	AJAP1	4715105	4843851	3317	0	0	0	2	2	0	0	0	0	0
chr1	AK2	33473541	33502512	5771	14126	13752	16840	11200	19462	12218	18060	12552	11990	18356
chr1	AK4	65613232	65697828	7226	3646	2060	4258	2746	2110	3270	2636	3090	3042	2056
chr1	AK5	77747662	78025654	4335	84	164	116	104	120	68	170	102	78	166
chr1	AKIRIN1	39456916	39471737	2726	6592	5072	7426	5404	6016	5630	6434	5862	5902	5344
chr1	AKNAD1	109358525	109399716	3048	8	10	12	16	14	8	16	8	16	8
chr1	AKR1A1	46016455	46035723	1580	4464	5432	5364	3152	8268	3712	7588	3842	3604	7800
chr1	AKR7A2	19629202	19638640	2619	2994	3836	3702	2130	5762	2580	5444	2918	2780	5958
chr1	AKR7A3	19609057	19615280	1241	38	42	42	32	68	36	78	38	34	34
chr1	AKT3	243651535	244006886	7341	13870	8114	15942	9852	6624	12022	8902	11780	11680	7142
chr1	ALDH4A1	19197924	19229293	3581	1970	2214	2170	1210	2532	1684	2956	1536	1592	2590
chr1	ALDH9A1	165631449	165667900	2500	5180	5044	6204	3916	6720	4478	6424	4408	4364	6170
chr1	ALG14	95448279	95538507	1057	426	438	420	302	714	394	648	440	366	670
chr1	ALG6	63833261	63904233	3371	2234	1908	2502	1776	2280	1818	2400	2000	2026	2070
chr1	ALPL	21835858	21904905	2596	302	236	346	170	436	264	242	262	338	334
chr1	ALX3	110602997	110613322	1478	294	354	412	178	324	308	346	274	242	296
chr1	AMIGO1	110049446	110052336	2471	134	110	146	90	90	80	128	124	104	76
chr1	AMPD1	115215720	115238239	2406	0	0	0	2	0	0	0	2	2	0
chr1	AMPD2	110162459	110174677	4573	3568	3870	3974	2634	4312	2934	4478	3202	3262	4008
chr1	AMY1A	104198141	104301311	6069	0	0	0	0	0	0	0	0	0	0
chr1	AMY2A	104159999	104168400	1632	2	0	0	0	0	0	0	2	2	0
chr1	AMY2B	104097322	104122149	2179	136	132	118	78	240	72	160	102	100	186
chr1	ANGEL2	213165524	213189168	4649	2744	1846	3146	2114	1916	2406	2062	2484	2412	1916
chr1	ANGPTL1	178818670	178840215	3546	80	34	70	34	48	46	46	56	62	50
chr1	ANGPTL3	63063187	63071180	2126	4	0	8	4	0	8	2	12	2	0
chr1	ANGPTL7	11249398	11256038	2238	8	16	26	36	16	18	0	26	18	4
chr1	ANKRD13C	70724685	70820417	5667	3242	2224	3806	2576	2302	2800	2360	2928	3086	2138
chr1	ANKRD34A	145470508	145475647	3612	74	96	98	46	154	72	104	78	68	114
chr1	ANKRD35	145549209	145568526	3363	14	18	16	18	34	18	14	26	12	34
chr1	ANKRD45	173577475	173639001	2671	24	16	22	18	32	46	20	18	30	26
chr1	ANKRD65	1353800	1356824	2192	82	80	120	54	132	58	168	94	88	150
chr1	ANP32E	150190717	150208504	3553	18786	12056	21818	13764	13462	17140	14834	16352	15934	11910
chr1	ANXA9	150954499	150968114	1824	182	250	244	144	364	188	370	140	158	476
chr1	AP4B1	114437371	114447741	2900	1532	1886	1868	1316	2660	1348	2384	1532	1452	2532
chr1	APH1A	150237799	150241609	2266	13900	16004	16536	9978	24550	11982	22942	12014	11792	23360
chr1	APITD1	10490159	10502872	1898	604	562	634	456	1040	484	842	460	466	934
chr1	APITD1-CORT	10490159	10512060	1974	2	4	12	6	6	0	32	6	4	12
chr1	APOA1BP	156561558	156564091	1121	3902	5656	4622	2742	9518	3478	8322	3560	3376	9206
chr1	APOA2	161192083	161193418	473	0	0	2	0	0	0	0	0	0	0
chr1	APOBEC4	183615411	183622448	2778	6	8	8	6	4	12	0	2	12	4
chr1	AQP10	154293592	154297801	1791	0	0	2	0	2	0	0	0	0	0
chr1	ARF1	228270361	228286913	2198	33534	37972	40338	24326	53296	29852	52142	31084	29816	52092
chr1	ARHGAP29	94634463	94703307	9117	45250	21432	53584	36720	21068	39892	22186	43564	43012	18622
chr1	ARHGAP30	161016732	161039760	4425	32	16	62	28	38	40	36	34	42	26
chr1	ARHGEF10L	17866330	18024370	4494	20	10	20	8	10	20	14	22	12	8
chr1	ARHGEF11	156904632	157015162	6889	4360	4000	5032	2888	3502	3876	4300	4002	3768	3320
chr1	ARHGEF16	3371147	3397677	2904	158	162	184	92	154	146	192	176	144	156
chr1	ARHGEF19	16524599	16539104	3029	524	538	550	374	922	420	792	464	430	884
chr1	ARHGEF2	155916630	155948336	4291	7094	7698	8696	5058	10334	6110	9098	6310	5822	9516
chr1	ARID1A	27022522	27108601	8585	11814	8824	14264	8150	6194	10300	7502	11182	10246	6106
chr1	ARID4B	235330210	235491532	6395	6394	3468	7570	4660	2878	5426	3516	5500	5512	2700
chr1	ARL8A	202102532	202113871	1795	2088	2836	2510	1434	3918	1924	3936	2026	1904	3830
chr1	ARNT	150782181	150849244	4887	4820	4048	5682	3428	4380	4254	4744	4068	3940	4310
chr1	ARPC5	183595332	183604985	1982	20018	17944	23098	15466	26476	18224	24188	17320	17158	25594
chr1	ARTN	44398992	44402912	1944	10	28	12	2	18	8	26	16	22	8
chr1	ARV1	231114823	231136479	1445	1014	932	1262	758	1462	882	1348	884	790	1240
chr1	ASAP3	23755056	23810750	4152	1710	1840	2034	1100	2368	1394	2368	1414	1460	2330
chr1	ASB17	76384558	76398116	1107	0	0	0	0	0	0	0	0	0	0
chr1	ASH1L	155305052	155532324	11774	9982	3834	11984	7360	2894	8498	3850	9122	8162	2588
chr1	ASPM	197053257	197115824	10888	29670	13846	35176	20698	10184	25262	13702	26756	26116	9590
chr1	ASTN1	176830203	177134024	7340	0	2	2	2	2	0	0	0	2	0
chr1	ATAD3A	1447523	1470067	2807	2482	3602	3020	1986	5866	2032	4640	2638	2444	5654
chr1	ATAD3B	1407164	1431582	2433	1662	2466	2108	1434	5248	1436	3470	1874	1678	4670
chr1	ATAD3C	1385069	1405538	3859	100	74	110	86	172	82	168	90	102	154
chr1	ATF3	212738676	212794119	2545	3396	5112	5256	5460	2694	3344	5188	4970	6520	2256
chr1	ATF6	161736034	161933860	7546	9222	5966	10918	6722	6800	8056	7382	7996	8114	6394
chr1	ATG4C	63249777	63330941	2724	1158	920	1358	906	1054	1062	1168	934	986	1004
chr1	ATP13A2	17312453	17338423	3996	5632	6162	6252	3700	7282	4876	7502	5024	4726	7170
chr1	ATP1A1	116915795	116947396	4300	67434	56302	80266	47116	72642	58754	68368	57200	55952	67118
chr1	ATP1A1OS	116935487	116961244	2635	86	130	136	84	160	86	152	106	136	162
chr1	ATP1A2	160085520	160113374	5457	46	34	66	40	86	38	30	54	56	60
chr1	ATP1A4	160121352	160156767	3955	0	0	4	4	6	2	4	0	2	0
chr1	ATP1B1	169075947	169101960	2200	5236	4462	5896	4074	5844	5008	5398	4646	4606	5204
chr1	ATP2B4	203595915	203713209	8920	9490	4394	11760	7562	4526	7818	4184	8008	8342	3766
chr1	ATP5F1	111991743	112004525	2101	12778	12884	15116	10794	19140	11788	16868	11632	11472	18330
chr1	ATP6V0B	44440602	44443972	1022	4874	6038	6004	3626	11468	4422	8830	4730	4742	10664
chr1	ATP6V1G3	198492352	198510075	678	6	6	8	2	4	6	6	4	4	12
chr1	ATP8B2	154298036	154323780	6303	8420	6874	9914	5938	6470	7296	8190	7442	7252	6064
chr1	ATPAF1	47100711	47134099	2152	3636	3430	4236	2808	4264	3240	4412	3486	3326	4270
chr1	ATPAF1-AS1	47137497	47139256	859	2	6	10	8	8	4	10	6	10	10
chr1	ATPIF1	28562602	28564616	1925	6180	8008	7448	4800	14902	5578	11472	5640	5714	13618
chr1	ATXN7L2	110026561	110035420	2382	524	728	642	468	998	432	870	536	512	808
chr1	AURKAIP1	1309110	1310818	1147	4500	7058	5568	3540	13312	3926	10194	4596	4382	12806
chr1	AVPR1B	206224283	206231482	1773	0	0	0	0	0	0	0	0	0	0
chr1	AXDND1	179334855	179523870	3642	8	4	4	8	6	4	4	8	10	6
chr1	B3GALNT2	235610533	235667781	4720	4070	2904	4664	2928	3510	3592	3548	3766	3472	3212
chr1	B3GALT2	193147860	193155743	3548	8	0	12	14	0	4	2	4	18	6
chr1	B3GALT6	1167629	1170420	2792	1432	2296	1972	1068	3748	1384	3380	1428	1380	3860
chr1	B4GALT2	44444874	44456843	2425	4320	6064	5246	3340	8552	3830	8390	4300	3802	8456
chr1	B4GALT3	161141100	161147758	2415	2650	3242	3206	1920	4952	2222	4558	2320	2298	4442
chr1	BAI2	32192718	32229648	5415	152	152	200	102	196	148	194	152	150	170
chr1	BARHL2	91177579	91182794	1496	0	0	0	0	0	0	0	2	0	0
chr1	BATF3	212859759	212873327	981	204	182	220	128	288	138	224	134	210	248
chr1	BCAN	156611740	156629324	4050	294	256	370	158	264	270	378	288	278	326
chr1	BCAR3	94027349	94147385	3170	7784	7228	9266	6180	8914	6926	7456	7704	7088	7760
chr1	BCAS2	115110181	115124265	1301	4338	4068	5208	3624	6332	3958	5650	3932	3978	5506
chr1	BCL10	85731460	85742587	3104	3602	2542	3956	3124	3046	3256	3036	3330	3324	2950
chr1	BCL2L15	114419436	114430169	4973	198	112	194	134	180	146	178	158	172	168
chr1	BCL9	147013182	147098015	6276	798	688	872	570	482	632	766	762	660	536
chr1	BEND5	49193540	49242547	1328	0	0	0	0	0	0	2	0	0	0
chr1	BEST4	45249257	45253426	2096	12	26	10	10	22	12	22	8	16	32
chr1	BGLAP	156211951	156213123	545	4	6	10	0	8	12	18	12	8	8
chr1	BLZF1	169337194	169365780	2316	2804	1328	2890	1972	1144	2336	1614	2510	2298	1058
chr1	BMP8A	39957318	39995541	5626	122	128	170	88	126	92	124	104	118	74
chr1	BMP8B	40223903	40254533	3773	74	70	76	54	22	86	62	70	40	34
chr1	BNIPL	151009029	151020076	2412	112	128	180	78	142	94	154	84	102	128
chr1	BOLA1	149871155	149872348	857	286	426	380	198	814	252	610	272	240	904
chr1	BPNT1	220230824	220263191	2461	2922	2896	3462	2292	4716	2578	4014	2558	2628	4470
chr1	BRDT	92414928	92479985	4051	42	24	36	38	34	30	30	40	14	14
chr1	BROX	222885906	222906106	1681	2676	1050	3162	1894	516	2322	902	2294	2384	476
chr1	BRP44	167885913	167906307	2523	4352	4508	4870	3376	7384	4032	6290	3938	4042	6862
chr1	BSDC1	32830705	32860062	2909	5884	5180	6594	3724	6894	4852	6864	4566	4576	6844
chr1	BSND	55464617	55474465	1370	0	0	2	0	0	0	2	0	4	2
chr1	BTBD19	45274154	45279801	1572	634	694	780	502	942	452	966	634	852	866
chr1	BTBD8	92545862	92613401	1447	44	22	44	34	10	42	12	46	42	18
chr1	BTF3L4	52521857	52556388	4643	6766	5636	7964	5500	7116	5768	7344	6116	5756	6672
chr1	BTG2	203274664	203278729	2711	4676	5336	5416	2710	10536	3968	6726	3548	3384	10430
chr1	C1QA	22963118	22966175	1098	0	0	0	0	2	0	0	0	0	2
chr1	C1QB	22979682	22988029	1044	0	2	0	0	0	0	0	0	0	2
chr1	C1QC	22970118	22974603	1191	0	0	0	0	0	0	0	0	0	0
chr1	C1orf100	244515937	244552393	579	6	16	6	2	4	4	6	4	4	4
chr1	C1orf101	244624673	244803662	3194	62	62	72	58	54	36	58	60	38	50
chr1	C1orf105	172389828	172437969	985	0	2	0	0	0	0	0	0	0	0
chr1	C1orf106	200860627	200884864	4408	134	46	126	64	58	82	74	112	120	48
chr1	C1orf109	38147242	38156192	2355	1846	1686	2072	1360	2232	1454	1996	1524	1446	1948
chr1	C1orf110	162824087	162838605	1552	156	120	184	158	186	152	164	126	204	124
chr1	C1orf111	162343515	162346644	1173	2	0	0	4	0	2	4	0	2	0
chr1	C1orf112	169764550	169822229	3363	2686	2238	3210	2084	2828	2214	2688	2342	2252	2536
chr1	C1orf114	169364114	169396670	1866	22	26	34	38	20	30	30	32	26	26
chr1	C1orf115	220863628	220872499	2972	6006	6398	7088	4012	8524	5108	8268	4708	4642	8112
chr1	C1orf116	207191866	207206101	5502	2	6	4	2	2	2	4	2	2	0
chr1	C1orf122	38273473	38275126	1318	1662	2246	2062	1214	4546	1362	3626	1542	1682	4416
chr1	C1orf123	53679772	53686289	1084	2268	2714	2558	1582	3810	1948	3772	1884	1854	3920
chr1	C1orf124	231473682	231489989	3838	1922	1292	2264	1596	1016	1826	1262	1768	1670	804
chr1	C1orf126	15438311	15478960	6979	2	0	0	2	0	2	6	8	4	8
chr1	C1orf127	11006530	11042094	2761	2	0	0	2	0	0	0	0	0	2
chr1	C1orf129	170904612	171033906	3696	0	0	0	0	0	0	0	0	0	0
chr1	C1orf130	24882567	24935818	3990	96	58	98	70	122	56	94	92	92	128
chr1	C1orf131	231359509	231376924	1435	1224	1062	1416	1018	1458	1016	1444	1094	1068	1352
chr1	C1orf133	210404804	210407466	800	276	328	358	188	550	266	502	252	250	612
chr1	C1orf135	26160497	26185848	2061	872	942	1030	674	1420	876	1220	890	834	1296
chr1	C1orf140	221503270	221509638	4492	18	16	30	18	20	14	22	26	32	10
chr1	C1orf141	67557859	67594220	2143	16	18	12	10	12	4	22	12	18	8
chr1	C1orf144	16693583	16724640	3634	21458	20374	24610	15328	29446	19312	27748	18838	18244	26240
chr1	C1orf146	92683573	92711367	751	12	4	8	2	4	2	6	2	16	4
chr1	C1orf150	247712451	247739848	2615	0	0	0	0	0	0	0	2	0	2
chr1	C1orf151-NBL1	19923471	19984949	2210	0	0	10	4	0	2	4	0	0	4
chr1	C1orf159	1017198	1051736	2104	1026	1254	1058	676	2032	772	1894	920	866	1894
chr1	C1orf162	112016604	112021134	917	28	66	30	38	78	36	72	34	24	82
chr1	C1orf168	57184477	57285369	3460	0	0	0	0	0	0	0	0	0	2
chr1	C1orf170	910579	917473	3040	104	122	106	78	166	98	206	112	86	176
chr1	C1orf172	27276047	27286901	1803	38	72	42	24	40	34	48	52	16	44
chr1	C1orf173	75033795	75139422	7159	0	0	0	6	0	4	0	0	0	0
chr1	C1orf174	3805697	3816857	1666	2088	2004	2428	1640	3002	1688	2732	1856	1800	2782
chr1	C1orf177	55271736	55307937	1789	0	4	4	2	0	2	6	2	0	0
chr1	C1orf180	85093913	85100703	2884	2	2	0	0	0	0	0	0	0	0
chr1	C1orf182	156307105	156316785	750	54	40	48	28	48	24	18	30	32	42
chr1	C1orf185	51567906	51613754	911	0	0	0	4	0	0	0	0	2	0
chr1	C1orf186	206238872	206288647	1665	22	8	22	14	14	8	22	8	6	22
chr1	C1orf187	11751781	11780336	1773	50	88	52	20	82	58	98	32	38	80
chr1	C1orf189	154171848	154178809	387	10	0	0	2	8	2	4	2	6	4
chr1	C1orf192	161334521	161337664	774	498	348	552	416	306	470	436	440	446	338
chr1	C1orf194	109648573	109656479	731	2	2	4	8	2	0	0	0	4	0
chr1	C1orf198	230972865	231005335	4132	7166	4568	8488	4986	6276	6608	5982	6126	6504	5910
chr1	C1orf201	24683489	24741587	3047	268	244	342	218	230	256	270	220	226	278
chr1	C1orf204	159804264	159825137	2501	20	22	32	12	26	40	38	20	22	42
chr1	C1orf21	184356150	184598155	10308	34	50	72	32	64	26	68	30	40	58
chr1	C1orf210	43747557	43751288	1513	32	40	42	24	42	48	70	48	52	64
chr1	C1orf212	35315963	35325417	6373	3538	3456	3974	2544	6064	3130	5210	3172	3100	5588
chr1	C1orf213	23695464	23698330	2867	126	110	122	60	270	86	152	86	104	232
chr1	C1orf216	36179477	36184790	2934	2726	2626	3100	2040	4478	2340	3526	2326	2182	4044
chr1	C1orf220	178511931	178518024	2577	30	26	38	22	52	36	36	26	24	46
chr1	C1orf226	162348696	162356608	4252	52	64	74	50	64	34	76	56	50	46
chr1	C1orf227	213003485	213020991	504	2	2	8	4	0	0	2	0	10	6
chr1	C1orf228	45140394	45191263	1685	14	24	14	8	26	12	18	10	10	20
chr1	C1orf229	247273462	247275719	2258	36	42	62	30	32	44	58	40	34	28
chr1	C1orf233	1533388	1535476	2089	128	148	130	82	210	102	182	122	96	192
chr1	C1orf27	186344890	186390503	3896	2928	2046	3478	2498	2418	2446	2376	2648	2590	1982
chr1	C1orf31	234509214	234519795	856	1474	1602	1702	1246	2796	1256	2258	1408	1280	2482
chr1	C1orf35	228288428	228291022	1290	1542	2100	1852	1220	4060	1288	2846	1378	1322	3762
chr1	C1orf38	28199055	28213193	2720	1508	1698	1802	836	1832	1290	2162	1398	1158	1756
chr1	C1orf43	154179183	154193273	1898	12222	12810	14378	9250	19176	10706	16148	10612	10554	17066
chr1	C1orf49	178482212	178492635	1391	0	0	0	2	0	0	0	2	0	0
chr1	C1orf50	43232916	43241413	1015	460	598	598	438	1060	418	772	444	386	956
chr1	C1orf51	150255229	150259501	1742	330	428	334	334	398	266	496	384	278	306
chr1	C1orf52	85715637	85725355	3390	1942	1678	2100	1520	2332	1512	2090	1696	1662	2098
chr1	C1orf53	197871682	197876497	683	82	112	82	62	224	68	146	60	80	196
chr1	C1orf54	150245183	150253335	527	312	338	348	238	724	240	518	234	204	638
chr1	C1orf55	226170403	226187066	4009	3994	2512	4758	3388	2312	3730	2686	3812	3836	2112
chr1	C1orf56	151020259	151023871	2028	344	446	490	326	654	314	604	284	308	590
chr1	C1orf61	156374055	156399184	879	6	6	8	4	8	4	10	4	8	4
chr1	C1orf63	25568740	25573985	1465	1530	1386	1522	1028	3686	1140	2188	1130	1512	3898
chr1	C1orf64	16330731	16333184	921	20	14	14	10	24	18	30	16	16	24
chr1	C1orf65	223566715	223568812	2098	0	0	0	0	0	0	0	0	0	0
chr1	C1orf68	152691998	152692905	908	0	0	2	0	0	0	4	4	0	0
chr1	C1orf74	209955662	209957890	1561	338	296	306	238	482	320	384	274	300	338
chr1	C1orf85	156262478	156265480	1851	5844	6838	7084	4154	12794	4738	9736	5172	4976	11548
chr1	C1orf86	2115899	2139172	2741	1066	1696	1210	620	3062	874	2822	990	970	3308
chr1	C1orf88	111889195	111895639	2346	2	0	8	2	0	2	2	2	6	8
chr1	C1orf9	172502260	172580973	5655	5652	3226	6534	4354	3408	4842	3678	4930	5070	3198
chr1	C1orf94	34632624	34684731	3153	2	0	0	0	0	0	0	2	0	0
chr1	C1orf95	226736501	226796915	7705	0	0	6	2	0	0	2	0	0	2
chr1	C1orf96	229456752	229478688	5121	1452	1132	1702	1030	996	1284	1098	1330	1258	970
chr1	C1orf98	200311672	200342920	1417	12	2	8	12	8	8	8	8	4	2
chr1	C2CD4D	151810339	151813033	1713	6	10	20	16	12	8	16	16	8	10
chr1	C4BPA	207277607	207318317	2243	0	4	0	0	0	0	0	0	0	4
chr1	C4BPB	207262212	207273337	1195	12	16	14	18	14	6	16	10	6	18
chr1	C8A	57320443	57383894	2392	0	0	0	0	2	0	0	0	0	0
chr1	C8B	57394883	57431688	2037	0	0	0	0	0	0	0	0	0	0
chr1	CA14	150230218	150237480	1741	108	90	118	64	102	72	96	100	94	50
chr1	CA6	9005922	9035148	1336	0	0	0	0	0	0	0	0	0	2
chr1	CACHD1	64936476	65158741	5274	38	16	38	32	40	30	26	40	34	36
chr1	CACNA1E	181452686	181775921	15088	6	2	4	0	0	2	4	4	2	2
chr1	CACNA1S	201008640	201081694	6168	0	2	4	0	2	0	2	2	0	0
chr1	CACYBP	174968571	174981163	3315	12904	12934	15488	10882	18068	11458	15988	11434	10990	15774
chr1	CADM3	159141377	159172932	3698	684	592	848	398	764	700	916	632	616	802
chr1	CALML6	1846266	1848733	1101	8	4	6	6	18	0	14	4	4	12
chr1	CAMK1G	209757045	209787284	2470	4	0	6	0	2	2	0	2	4	4
chr1	CAMK2N1	20808884	20812728	2351	482	438	588	492	840	446	532	486	546	790
chr1	CAMSAP2	200708686	200829831	7351	9568	4250	11472	7532	3780	8326	4394	8552	8676	3676
chr1	CAMTA1	6845384	7829766	9283	2186	2268	2340	1600	3656	1874	3194	1862	1844	3376
chr1	CAP1	40506255	40538321	2773	45772	37044	54574	35046	49060	40952	47238	41794	42190	46254
chr1	CAPN2	223889295	223963720	3727	43944	37150	55386	40624	39538	38226	37912	45168	42144	34870
chr1	CAPN8	223714972	223853436	2101	2	0	0	2	0	0	2	2	6	0
chr1	CAPN9	230883130	230937749	2593	2	2	0	2	6	0	6	2	0	0
chr1	CAPZA1	113162075	113214241	2740	24214	18002	28152	19854	22466	22002	21230	21880	21624	20112
chr1	CAPZB	19665267	19812066	2341	19310	21402	22916	14318	32668	17408	29048	17210	17082	30852
chr1	CASP9	15818769	15851285	2373	452	506	516	308	548	382	722	358	368	590
chr1	CASQ1	160160285	160171676	1958	10	12	4	8	10	12	16	10	10	6
chr1	CASQ2	116242626	116311426	2700	0	0	0	0	2	0	0	0	0	0
chr1	CASZ1	10696666	10856707	8521	578	598	700	368	650	558	740	506	472	688
chr1	CATSPER4	26517119	26529033	1419	0	0	0	0	0	0	0	0	0	0
chr1	CC2D1B	52816265	52831877	5654	4522	5076	5214	3358	6990	3686	5986	4126	4052	6684
chr1	CCBL2	89401456	89458643	2152	1370	1298	1532	1108	1604	1152	1546	1252	1280	1538
chr1	CCDC163P	45959598	45965751	2169	164	220	262	172	314	176	282	184	186	266
chr1	CCDC17	46085716	46089731	2250	140	106	116	72	108	42	156	128	102	132
chr1	CCDC18	93646281	93744287	4314	2564	1730	2706	1874	1468	1994	1830	2102	2138	1396
chr1	CCDC19	159842154	159869906	1795	160	136	192	124	250	142	210	144	142	196
chr1	CCDC23	43272723	43283059	798	922	1066	1030	596	1836	852	1578	694	806	1696
chr1	CCDC24	44457280	44462198	1461	146	220	192	122	304	118	344	148	116	328
chr1	CCDC27	3668965	3688209	2174	2	2	0	0	4	0	0	0	2	0
chr1	CCDC28B	32666202	32670991	877	908	1080	1074	522	2348	708	1692	856	784	2278
chr1	CCDC30	43000560	43120335	3098	46	38	60	38	54	40	46	46	50	18
chr1	CCDC76	100598706	100616054	3143	1176	766	1364	954	1044	958	866	1148	1010	970
chr1	CCNL2	1321091	1334718	3631	8876	10944	9438	6466	15172	6246	13436	7998	8658	14322
chr1	CCT3	156278752	156308206	2382	32874	34260	40406	27162	47174	29228	43462	31284	28898	43270
chr1	CD101	117544372	117579167	3557	6	12	4	6	12	6	10	8	6	12
chr1	CD160	145695798	145715565	1559	122	58	116	100	66	90	130	124	144	66
chr1	CD164L2	27705596	27709805	1539	6	2	2	2	6	2	4	12	4	2
chr1	CD1A	158223927	158228058	2095	0	0	0	0	0	0	2	0	0	2
chr1	CD1B	158297740	158301321	1396	0	0	0	0	0	0	0	0	0	0
chr1	CD1C	158259563	158264564	2592	0	0	4	0	0	0	0	0	0	0
chr1	CD1D	158149737	158156216	3783	2	6	4	6	16	8	8	8	14	22
chr1	CD1E	158323486	158327343	2117	0	0	0	0	0	0	0	0	0	0
chr1	CD244	160799950	160832692	2525	0	0	0	0	0	0	0	0	0	0
chr1	CD247	167399877	167487847	1681	6	10	12	2	2	4	6	2	2	2
chr1	CD34	208059883	208084683	2811	26620	23610	29866	15730	39616	22478	39998	19628	22096	39236
chr1	CD46	207925383	207968861	3393	25294	15824	29262	18934	15922	21524	17210	21342	21978	14822
chr1	CD48	160648536	160681641	1906	0	0	0	0	0	0	0	0	0	0
chr1	CD52	26644411	26647014	505	20	14	28	10	12	14	18	26	18	24
chr1	CD53	111413821	111442558	1628	4	2	4	0	4	2	4	4	10	6
chr1	CD55	207494817	207534311	2914	9250	7918	10830	8214	10782	7876	10096	8424	8692	9866
chr1	CD58	117057156	117113715	1719	1536	1164	1860	1222	2142	1352	1660	1384	1424	1706
chr1	CD5L	157800704	157811634	2237	0	0	0	2	0	0	0	4	0	0
chr1	CD84	160510884	160549306	8279	130	148	180	96	248	130	224	170	120	190
chr1	CDA	20915444	20945400	959	814	874	956	568	1446	686	1194	680	816	1290
chr1	CDC14A	100818023	100985833	5392	806	446	884	518	370	572	406	712	712	298
chr1	CDC20	43824626	43828873	1674	15908	19874	18822	11946	29234	13846	25662	14720	13332	25328
chr1	CDC42	22379120	22419436	3155	34328	29644	41044	28546	42932	31828	39934	30738	30412	38670
